XS.width, XS.Qb_cap
1056, 1.74951
1057, 1.75117
1058, 1.75282
1059, 1.75448
1060, 1.75613
1061, 1.75779
1062, 1.76303
1063, 1.76468
1064, 1.76634
1065, 1.768
1066, 1.76966
1067, 1.77132
1068, 1.77298
1069, 1.77463
1070, 1.77629
1071, 1.78157
1072, 1.78323
1073, 1.78489
1074, 1.78655
1075, 1.78822
1076, 1.78988
1077, 1.79154
1078, 1.7932
1079, 1.79486
1080, 1.79652
1081, 1.80184
1082, 1.8035
1083, 1.80517
1084, 1.80684
1085, 1.8085
1086, 1.81017
1087, 1.81183
1088, 1.8135
1089, 1.81516
1090, 1.81683
1091, 1.82218
1092, 1.82385
1093, 1.82552
1094, 1.82719
1095, 1.82886
1096, 1.83053
1097, 1.83219
1098, 1.83386
1099, 1.83553
1100, 1.8372
1101, 1.8426
1102, 1.84427
1103, 1.84594
1104, 1.84761
1105, 1.84928
1106, 1.85096
1107, 1.85263
1108, 1.8543
1109, 1.85597
1110, 1.85764
1111, 1.86308
1112, 1.86476
1113, 1.86643
1114, 1.86811
1115, 1.86978
1116, 1.87146
1117, 1.87313
1118, 1.87481
1119, 1.87649
1120, 1.87816
1121, 1.87984
1122, 1.88532
1123, 1.887
1124, 1.88868
1125, 1.89035
1126, 1.89203
1127, 1.89371
1128, 1.89539
1129, 1.89707
1130, 1.89875
1131, 1.90043
1132, 1.90211
1133, 1.90763
1134, 1.90931
1135, 1.911
1136, 1.91268
1137, 1.91436
1138, 1.91604
1139, 1.91773
1140, 1.91941
1141, 1.92109
1142, 1.92277
1143, 1.92445
1144, 1.93003
1145, 1.93171
1146, 1.9334
1147, 1.93508
1148, 1.93677
1149, 1.93845
1150, 1.94014
1151, 1.94182
1152, 1.94351
1153, 1.94519
1154, 1.94688
1155, 1.94857
1156, 1.95419
1157, 1.95587
1158, 1.95756
1159, 1.95925
1160, 1.96094
1161, 1.96263
1162, 1.96432
1163, 1.96601
1164, 1.9677
1165, 1.96939
1166, 1.97107
1167, 1.97276
1168, 1.97445
1169, 1.98012
1170, 1.98182
1171, 1.98351
1172, 1.9852
1173, 1.98689
1174, 1.98858
1175, 1.99028
1176, 1.99197
1177, 1.99366
1178, 1.99535
1179, 1.99705
1180, 1.99874
1181, 2.00446
1182, 2.00615
1183, 2.00785
1184, 2.00955
1185, 2.01124
1186, 2.01294
1187, 2.01463
1188, 2.01633
1189, 2.01802
1190, 2.01972
1191, 2.02142
1192, 2.02311
1193, 2.02481
1194, 2.0265
1195, 2.03228
1196, 2.03398
1197, 2.03568
1198, 2.03737
1199, 2.03907
1200, 2.04077
1201, 2.04247
1202, 2.04417
1203, 2.04587
1204, 2.04757
1205, 2.04927
1206, 2.05097
1207, 2.05267
1208, 2.05849
1209, 2.0602
1210, 2.0619
1211, 2.0636
1212, 2.0653
1213, 2.06701
1214, 2.06871
1215, 2.07041
1216, 2.07211
1217, 2.07382
1218, 2.07552
1219, 2.07722
1220, 2.07892
1221, 2.08063
1222, 2.08651
1223, 2.08821
1224, 2.08992
1225, 2.09162
1226, 2.09333
1227, 2.09504
1228, 2.09674
1229, 2.09845
1230, 2.10015
1231, 2.10186
1232, 2.10357
1233, 2.10527
1234, 2.10698
1235, 2.10868
1236, 2.11039
1237, 2.11633
1238, 2.11804
1239, 2.11975
1240, 2.12146
1241, 2.12317
1242, 2.12488
1243, 2.12659
1244, 2.1283
1245, 2.13001
1246, 2.13171
1247, 2.13342
1248, 2.13513
1249, 2.13684
1250, 2.13855
1251, 2.14026
1252, 2.14197
1253, 2.14797
